Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0100447	200.917	45.266	56.519	75.716	60.348	51.734
FBtr0329933	246.398	44.59	45.519	113.626	55.457	45.558
FBtr0336949	137.674	439.61	526.829	409.391	381.304	405.494
FBtr0088786	564.807	697.248	866.477	967.121	648.846	692.899
FBtr0088785	2443.189	249.633	173.578	2416.271	162.911	209.378
FBtr0303077	4	0	0	0	0	0
FBtr0339716	15.573	0.271	0.222	12.417	0.249	0.239
FBtr0085459	916.427	259.729	305.778	854.583	188.751	250.761
FBtr0070973	20	5	11	13	2	2
FBtr0089252	72.945	48.439	53.971	103.85	52.553	23.54
FBtr0334488	109.253	32.814	50.477	127.884	26.954	30.805
FBtr0334489	79.242	34.11	19.575	44.541	35.318	23.18
FBtr0100600	405.653	93.637	104.748	369.007	72.176	114.474
FBtr0300305	0	0	0	0	0	0
FBtr0077162	2	0	0	0	0	0
FBtr0072277	604	240	261	591	204	220
FBtr0344898	0	0	0	0	0	0
FBtr0086817	0	0	0	0	0	0
FBtr0333271	68.692	28.423	28.198	61.249	17.913	15.351
FBtr0072639	84.355	35.64	25.802	60.844	18.548	15.502
FBtr0340000	31.538	9.944	6.573	39.398	6.615	3.4
FBtr0087390	602.46	195.056	219.427	1564.601	481.385	606.6
FBtr0070472	119.606	63.088	71.282	184.117	56.591	52.482
FBtr0331752	1739.27	556.791	570.526	2055.405	781.608	586.13
FBtr0070475	429.866	156.943	193.006	274.977	138.98	152.885
FBtr0070474	38.481	38.287	14.43	54.667	21.828	29.908
FBtr0302185	53.346	21.935	30.707	28.682	19.104	6.646
FBtr0070471	697.125	371.836	412.207	707.954	368.611	323.969
FBtr0112828	177.82	101.045	114.288	303.471	141.997	130.135
FBtr0301966	128.667	31.831	25.143	53.217	24.922	17.513
FBtr0070468	581.556	170.246	236.459	126.726	195.108	225.011
FBtr0070476	11.714	10.321	8.646	11.956	12.193	12.199
FBtr0070470	74.968	41.394	37.259	61.866	32.875	31.52
FBtr0331751	36.777	42.506	52.951	63.84	26.313	34.415
FBtr0070469	2248.395	375.986	463.958	2270.046	458.776	311.765
FBtr0070467	7.67	12.693	11.801	7.444	8.394	10.57
FBtr0331753	207.652	23.766	47.083	204.794	42.217	21.622
FBtr0070466	82.846	51.037	37.094	876.384	46.723	89.873
FBtr0070473	50.529	58.642	42.159	49.854	40.467	35.409
FBtr0076265	1958.988	514.998	690	2068.992	521.999	575.999
FBtr0331935	4.846	1.148	1.112	1.03	1.129	1.16
FBtr0088237	1113.154	483.852	570.888	1277.97	382.871	499.84
FBtr0081705	0	0	0	0	0	0
FBtr0088524	1686	753	850	1393	561	652
FBtr0074540	340	138	142	378	104.968	109
FBtr0074494	11	6	4	11	3	3
FBtr0085714	2802.787	2528.633	3252.927	2557.934	2792.368	3449.746
FBtr0085713	58829.556	21772.344	24544.073	77727.025	25394.526	27791.254
FBtr0076256	9	2	4	8	2	4
FBtr0339552	761.509	146.461	137.838	503.234	121.429	146.344
FBtr0078950	524.491	296.539	331.162	673.766	278.571	264.656
FBtr0070990	38.692	11.73	13.089	31.655	9.146	7.233
FBtr0100409	1.554	7.468	2.279	1.101	3.159	3.848
FBtr0343330	988.856	438.841	503.644	1004.403	346.695	472.96
FBtr0304902	2	0	5.386	0.81	1.661	0.503
FBtr0304901	1	1	4.614	2.19	0.339	0.497
FBtr0078872	4	0	1	2	0	1
FBtr0077839	113.754	203.744	154.506	649.421	108.578	65.143
FBtr0077837	297.467	53.009	51.888	92.631	40.243	113.805
FBtr0077838	59.779	58.569	61.65	91.153	128.647	111.385
FBtr0077836	1304	308.678	480.956	937.795	239.531	282.666
FBtr0075133	161.185	17.395	13.737	113.642	11.827	22.066
FBtr0332862	81.06	32.605	65.263	288.77	97.173	72.934
FBtr0087988	463.317	2002.075	2395.448	2191.142	1723.796	1670.065
FBtr0087987	14083.767	6466.731	7403.474	11639.653	4159.157	5695.778
FBtr0074688	950	587	674	1135	489	591
FBtr0086864	1006	341	399	940	292	309
FBtr0083361	2	0	0	5	0	0
FBtr0392904	2701.041	315.921	321.327	1155.901	167.584	155.898
FBtr0084588	3116.073	1334.148	1929.497	4597.441	1007.077	780.059
FBtr0303161	1181.563	328.797	261.42	1171.978	658.53	813.362
FBtr0079257	564	204	249	666	223	263
FBtr0307341	0.919	0.33	0.002	0.915	0.228	0.321
FBtr0084989	0.21	1.186	0.001	0.754	0.088	0.177
FBtr0306309	6.464	0.143	3.927	6.042	3	3.92
FBtr0344570	13.536	6.857	0.073	12.958	0	0.08
FBtr0078090	788.434	264	311	951.477	260	270
FBtr0087439	292	63	82	246	52	69
FBtr0070960	4.725	1.029	2.173	1.486	2.582	1.807
FBtr0302357	3.698	0.994	1.96	1.394	2.277	3.788
FBtr0302356	3.313	0.976	1.871	3.121	2.142	3.409
FBtr0340571	1	0.5	0.5	3.997	1	1
FBtr0340572	1	0.5	0.5	4.003	1	1
FBtr0080267	0	0	0	0	0	0
FBtr0077141	0	0	0	0	0	0.521
FBtr0306593	0	0	0	0	0	0.479
FBtr0081719	2752	1086	1244	2665	793	939
FBtr0071549	826	380	453	1020	318	417
FBtr0308832	244.993	55.796	88.44	223.514	55.844	91.835
FBtr0308833	1041.602	384.073	491.539	1345.029	388.891	403.582
FBtr0074921	736.405	142.13	50.021	840.457	114.265	68.583
FBtr0073011	5	1	1	5	2	0
FBtr0112378	2	0	0	0	0	0
FBtr0342602	6.095	2.565	2.524	6.095	2.541	2.578
FBtr0080326	1856.536	742.563	849.476	1694.086	593.459	720.741
FBtr0085405	1951	700	797	1895	632	775
FBtr0339295	0	0	0	0	0	0
FBtr0300316	0	0	0	0	0	0
FBtr0300904	0.396	0.5	0	0.681	0	0
FBtr0081633	1.656	0.5	0	0.677	0	0
FBtr0300905	0.015	0	0	0.685	0	0
FBtr0335279	8.782	2.469	0.702	10.288	4.74	0.724
FBtr0335281	19.767	2.805	0.712	30.106	1.425	0.736
FBtr0290216	0.036	0.059	0	0.055	0.051	0
FBtr0335280	0.036	0.06	0	0.056	0.052	0
FBtr0077120	417.348	220.83	237.797	428.24	207.187	212.17
FBtr0081676	0	0	0	0	0	0
FBtr0076639	9.599	4	2.587	5.728	2	2.703
FBtr0079280	1	0	2	0	0	0
FBtr0304827	4.542	3.463	3.435	6.815	2.86	3.874
FBtr0433494	12.298	8.616	6.611	14.883	4.349	5.479
FBtr0333832	10.085	5.234	6.423	14.739	3.657	4.949
FBtr0433497	5.405	6.548	3.488	7.044	3.476	4.321
FBtr0333833	5.258	3.097	3.332	7.673	3.798	3.741
FBtr0433496	4.149	3.445	3.327	6.739	2.6	3.083
FBtr0304826	15.88	5.124	4.811	21.574	3.764	5.653
FBtr0433495	16.314	4.875	4.847	21.326	3.785	5.703
FBtr0433493	17.7	4.893	4.957	21.703	4.047	6.665
FBtr0300808	0	0	0	0.3	0	0
FBtr0300809	0.502	0	0	0.701	1.88	0.5
FBtr0301700	0.502	0	0	0.701	1.879	0.5
FBtr0072287	3116.871	1152	1247	3058	974	1089
FBtr0343633	209.628	106.528	135.511	499.23	484.188	197.217
FBtr0074281	3322.096	1252.921	1206.928	4217.264	802.849	1144.164
FBtr0343632	153.801	43.984	51.623	94.832	42.918	28.017
FBtr0074279	4537.867	1043.134	1306.372	4719.308	1098.704	1286.233
FBtr0074280	390.557	91.769	78.566	477.564	98.339	80.363
FBtr0072238	0	0	0	0	0	0
FBtr0308073	28.334	11.948	9.583	33.093	10.036	7.955
FBtr0082360	1128.265	397.066	426.059	941.917	322.948	391.25
FBtr0082361	42.401	0.986	1.358	6.99	6.016	13.795
FBtr0079938	92	30	46	62	23	30
FBtr0077227	3153.175	1438.387	1724.007	3240.686	1227.104	1481.961
FBtr0091702	265.825	61.613	77.804	161.314	54.896	50.039
FBtr0074882	429.887	260.932	378.988	502.042	239.499	249.123
FBtr0332153	441.958	66.402	69.405	430.468	69.127	57.721
FBtr0310476	87.953	99.449	56.102	209.31	91.191	91.044
FBtr0100666	427.278	132.718	177.775	433.812	123.361	150.126
FBtr0332726	86.924	62.657	43.729	188.229	57.822	61.986
FBtr0080287	287.899	103.061	197.953	430.502	101.446	121.095
FBtr0309307	3.566	1.544	2.581	6.012	4.549	2.582
FBtr0300898	1.45	0.456	0.419	2.078	2.451	0.419
FBtr0080024	223.759	57.322	72	228.487	42.197	50.18
FBtr0077389	3650.638	1510	1868	4187	1383	1476
FBtr0290204	0	0	0	0	0	0
FBtr0086689	395.565	177.578	120.954	364.263	101.568	180.815
FBtr0306636	762.046	130.571	167.143	404.545	71.829	90.238
FBtr0086687	1055.51	148.689	202.475	693.346	297.197	231.131
FBtr0086690	39.255	10.94	12.924	27.196	9.393	10.364
FBtr0086686	123.459	9.337	12.815	20.456	10.368	10.293
FBtr0340359	39.578	15.387	46.109	61.334	15.8	18.877
FBtr0301148	850.014	484.022	592.164	1756.507	378.522	494.521
FBtr0086684	15.404	2.099	3.172	2.846	2.269	1.549
FBtr0306637	46.984	21.181	22.238	55.567	14.943	17.669
FBtr0301149	61.186	7.196	24.006	78.94	13.113	16.543
FBtr0086600	132.506	23.212	6.889	138.195	35.377	51.063
FBtr0331978	489.117	153.788	199.111	385.805	114.623	119.937
FBtr0078769	27953	14644	16187	43192	13538	16591
FBtr0070712	29	12	10	36	10	12
FBtr0343263	3.037	0	0	1.026	0.263	0.675
FBtr0343264	0.738	0	0	1.753	0.244	0.788
FBtr0072024	0.746	0	0	1.855	0.243	0.797
FBtr0113111	0.695	0	0	1.367	0.25	0.74
FBtr0333452	10.907	9.699	5.291	14.042	7.08	3.79
FBtr0333450	8.792	4.498	3.952	12.143	3.682	2.42
FBtr0333451	13.008	4.433	3.903	11.641	3.64	2.403
FBtr0300831	14.293	4.37	3.854	11.174	3.598	2.387
FBtr0076303	32.983	14.744	11.475	14.211	23.63	11.188
FBtr0076302	29.571	14.474	10.912	31.398	16.263	23.518
FBtr0076301	2326.446	990.782	1321.613	1629.391	638.107	736.294
FBtr0077098	1656.652	688.17	774.203	1640.75	557.813	644.83
FBtr0070552	1.153	2	1	5.017	0	0
FBtr0075818	693	267	337	644	215	283
FBtr0088789	340	71	85	184	57	79
FBtr0304960	0	0	0	0	0	0
FBtr0075249	3	1	0	2	0	0
FBtr0084104	9396.891	2984.927	3398	8108	2415	2820
FBtr0336911	388.701	120.246	126.068	391.445	112.337	209.963
FBtr0088974	401.929	174.952	232.872	740.712	238.5	185.42
FBtr0100360	63.323	19.766	32.907	59.893	15.996	20.968
FBtr0110880	9.435	2.129	2.318	3.58	1.495	3.46
FBtr0334105	8.965	2.254	1.594	2.347	2.337	4.897
FBtr0301185	10.232	2.115	2.144	3.534	1.489	3.418
FBtr0110881	201.045	49.736	68.037	208.646	79.683	63.256
FBtr0336928	1.427	0.901	1.755	0.892	0	3.173
FBtr0072107	2.573	1.099	0.245	1.108	0	0.827
FBtr0085786	1384.052	375.441	456.812	601.567	255.677	238.289
FBtr0085785	23.606	22.26	22.253	40.302	22.978	22.88
FBtr0334549	72.479	51.996	42.76	153.068	28.725	23.488
FBtr0334550	16.993	15.302	14.175	32.373	12.62	11.413
FBtr0340191	709.345	220.848	232.006	413.592	278.866	335.74
FBtr0073848	4329.261	2026.152	2078.994	4978.408	1680.134	1831.116
FBtr0078387	833.254	232.836	250.62	684.229	209.479	194.549
FBtr0087487	602.759	225	241	555	208	240
FBtr0083735	6.745	2.805	2.844	7.069	0.702	0.986
FBtr0332539	10.277	3.202	3.258	11.072	0.711	1.014
FBtr0077790	0	0	0	0	0	0
FBtr0331440	0	0	0	0	0	0
FBtr0331439	0	0	0	0	0	0
FBtr0082634	536	245	271	539	201	199
FBtr0079612	258.388	68.545	70	191.178	54	58.174
FBtr0087980	3.466	0.498	0	2.039	0.274	0.001
FBtr0087979	0.536	0.502	0	0.561	0.267	0
FBtr0072044	0	0	0	0	0	0
FBtr0343206	0	0	0	0	0	0
FBtr0072043	0	0	0	0	0	0
FBtr0075225	0	0	0	3	1	0
FBtr0112489	79.209	21.714	29.544	75.799	16.88	26.153
FBtr0339263	25.333	0.377	3.456	7.05	0.12	4.019
FBtr0301018	106	14	26	77	25	21
FBtr0302526	60.885	14	13.398	67.231	13	16
FBtr0100009	389.053	155	179	440.105	103	139
FBtr0089901	24.13	9.292	13.464	11.765	16.857	19.716
FBtr0089902	17.32	4.575	3.714	3.527	5.558	7.211
FBtr0300562	429.622	93.881	79.82	244.093	93.605	59.071
FBtr0089900	20.583	8.243	6.518	5.007	5.254	6.843
FBtr0089904	131.362	11.768	12.391	17.58	9.011	9.886
FBtr0301521	222.609	19.471	24.292	28.447	14.058	15.614
FBtr0089905	114.375	12.772	29.801	226.581	37.657	29.659
FBtr0345390	137.076	30.296	20.859	39.881	30.492	30.253
FBtr0331425	163.489	100.433	112.424	71.167	43.376	30.885
FBtr0332155	582.693	108.859	166.525	362.376	53.11	51.375
FBtr0075014	43.742	44.412	46.433	30.576	40.023	25.488
FBtr0078874	0	0	0	0	0	1
FBtr0083452	811.069	216.179	315.565	657.022	284.575	247.436
FBtr0302317	745.142	370.821	321.435	897.978	302.425	368.564
FBtr0333248	1.951	0.992	0	3.773	0.992	1.952
FBtr0114524	2.049	1.008	0	4.227	1.008	2.048
FBtr0273385	167.086	40.53	43.028	316.044	77.517	89.223
FBtr0339307	92.13	44.34	61.763	266.398	69.888	65.847
FBtr0273384	181.049	129.13	143.209	430.822	190.595	146.93
FBtr0082117	128.942	101.226	81.245	264.888	149.754	122.231
FBtr0082116	420.959	74.356	55.347	410.185	100.663	104.771
FBtr0082118	232.603	89.418	98.426	457.938	133.679	105.934
FBtr0085011	1	4	1	1	0	1
FBtr0081174	25.02	14.124	13.71	20.169	8.176	8.966
FBtr0081175	29.735	17.053	14.508	28.767	9.098	10.183
FBtr0303241	71.212	25.84	28.926	70.875	18.166	21.578
FBtr0081176	43.535	18.296	18.27	26.866	9.371	10.527
FBtr0305129	1291.25	202.45	202.699	811.458	160.364	153.253
FBtr0339156	260.376	65.188	52.032	106.53	61.011	46.247
FBtr0339157	78.976	36.66	27.269	64.237	38.858	47.5
FBtr0071784	12.027	15.237	17.185	13.346	17.225	22.331
FBtr0071785	1597.076	764.806	841.815	2361.654	816.775	932.669
FBtr0089148	548.27	29.096	45.93	100.401	46.534	29.678
FBtr0089147	314.339	42.512	37.434	63.286	38.439	70.084
FBtr0089150	545.086	66.294	80.13	202.592	72.025	65.948
FBtr0089146	253.871	83.144	128.12	49.627	87.915	77.289
FBtr0308247	1505.316	326.696	309.697	1761.958	528.495	413.343
FBtr0089149	209.119	63.258	26.689	144.136	58.592	26.658
FBtr0302559	1.511	0	0.5	2.023	0	0
FBtr0346506	1.489	0	0.5	1.977	0	0
FBtr0302190	226.195	106.492	92.08	237.001	68.291	79.194
FBtr0086145	325.805	118.508	145.92	330.999	147.709	138.806
FBtr0306281	0	0	0	0	0	0
FBtr0306280	0	0	0	0	0	0
FBtr0306258	587.492	112.77	128.588	435.644	167.889	181.938
FBtr0073119	6574.213	2257.601	1987.103	5980.949	1387.846	1239.027
FBtr0073120	2475.499	2346.729	3060.074	307.986	1259.495	1278.41
FBtr0073118	18383.175	3133.949	2877.435	11334.014	1944.873	1645.184
FBtr0337055	876.375	399.879	436.582	640.341	378.451	328.795
FBtr0333895	559.035	1963.207	2369.111	379.444	1469.582	1745.266
FBtr0337056	301.774	93.865	91.106	1894.623	421.864	300.379
FBtr0077442	178	51	62	140	54	50
FBtr0076018	46.17	25.966	23.233	17.682	20.614	24.12
FBtr0076017	163.83	62.034	83.767	181.318	47.386	47.88
FBtr0339781	14.042	9.622	5.228	19.71	10.177	12.017
FBtr0070778	26.994	13.988	6.243	40.519	15.239	19.812
FBtr0344824	119.469	37.389	8.529	764.082	48.584	188.17
FBtr0345292	5818.302	69.709	91.398	18896.746	1195.149	71.387
FBtr0070983	87.81	123.437	61.258	95.952	101.531	28.273
FBtr0070982	102.689	13.965	13.912	83.625	11.289	13.932
FBtr0070981	828.649	457.051	540.791	794.18	479.148	665.578
FBtr0070980	35804.269	26511.837	30788.641	34159.491	22587.882	32834.83
FBtr0307300	1070.241	271.965	289.137	729.937	238.076	268.457
FBtr0113024	75.85	24.037	25.356	37.198	22.106	25.175
FBtr0332600	27.44	12.557	12.507	15.311	10.818	9.368
FBtr0083414	698.085	355.53	442.742	849.403	334.685	323.991
FBtr0337043	201.006	28.47	22.258	124.597	11.315	36.009
FBtr0077516	2	0	0	1	0	2
FBtr0112524	54.901	22	17.603	88.949	16.004	16.04
FBtr0089233	580.477	93.549	101.558	77.075	112.656	72.684
FBtr0334626	234.882	45.681	38.439	280.902	42.374	57.273
FBtr0310651	1380.831	181.791	189.672	530.063	226.027	234.547
FBtr0089229	991.81	323.98	366.331	2381.961	343.943	315.496
FBtr0082920	1	0	0	1	0	0
FBtr0077386	736.891	258.534	303.356	776.302	226	256
FBtr0071106	3	1	0	4	0	1
FBtr0070937	3490.379	1976.278	2347.934	3717.526	1229.744	1606.71
FBtr0070938	4675.838	1059.722	1166.066	4370	1417.256	1171.29
FBtr0070397	13	9	9	25	10	2
FBtr0074346	1	0	0	1	0	0
FBtr0071471	1.001	0	0.5	0.5	0	0.5
FBtr0330316	0.999	0	0.5	0.5	0	0.5
FBtr0074918	400.372	155.48	192.777	431.581	112	150.34
FBtr0072124	756.1	355	383.134	871.507	294	386
FBtr0071683	1274.157	618	699	1663	495	543
FBtr0077403	2.91	0.173	0.227	3.925	2.059	0.762
FBtr0113021	2.444	0.175	0.203	3.082	1.849	0.746
FBtr0077402	1.566	1.484	2.893	1.766	1.354	0.693
FBtr0077401	5.08	0.168	1.677	10.228	2.738	0.798
FBtr0300280	5	2	2	7	1	0
FBtr0346378	22.676	18.946	18.183	18.018	15.557	13.103
FBtr0074809	1392.556	742.719	815.571	966.23	430.356	463.819
FBtr0335137	31.349	15.649	23.246	23.056	19.087	15.489
FBtr0346141	8.641	3.804	0.002	1.892	3.661	0.003
FBtr0085611	63.359	11.196	18.998	39.108	23.339	10.997
FBtr0074029	5	1	0	2	0	0
FBtr0075388	6.742	1.02	0.826	4.707	0.826	1.102
FBtr0343534	11.456	1.232	2.174	6.482	2.174	0.898
FBtr0086001	6	6	7	5	2	1
FBtr0321315	0	0	0	0	0	0
FBtr0333037	101.259	22.801	22.915	104.607	42.786	27.535
FBtr0075724	225.983	40.74	41.337	276.796	64.587	58.923
FBtr0075723	52.758	20.458	41.749	76.598	16.627	27.542
FBtr0342770	273.201	282.671	364.855	440.367	291.748	278.392
FBtr0070420	4718.157	1958.874	1999.538	5585.782	2123.456	1962.534
FBtr0342771	146.641	80.455	119.607	153.85	115.796	84.074
FBtr0333323	323.703	19.745	20.751	42.045	22.04	16.076
FBtr0333322	153.187	19.398	9.177	26.901	18.938	23.252
FBtr0074137	125.646	64.201	84.933	113.705	76.012	70.173
FBtr0074135	2088.464	795.656	872.139	2893.35	751.01	901.499
FBtr0308136	2.092	0.47	0	0.678	0.626	0.47
FBtr0080237	0	0	0	0	0	0
FBtr0300638	1	0	1.579	0.917	1.579	0
FBtr0073729	557.154	149.971	160.264	415.186	138.014	135.171
FBtr0084836	316	123	117	354	83	114
FBtr0082430	4.549	14.38	4.913	4.827	13.619	5.2
FBtr0335211	541.637	194.62	254.087	495.826	111.381	164.8
FBtr0076857	16	9	7	12	2	9
FBtr0300424	28	7	7	33	6	0
FBtr0083860	199.515	65.89	65.865	120.061	59.078	18.622
FBtr0302327	3842.863	1651.678	2057.705	4573.657	1333.109	1763.896
FBtr0083861	659.664	140.432	96.43	512.281	156.813	173.482
FBtr0083086	458.098	227.418	242.358	458.232	134.591	187.892
FBtr0334589	125.09	37.582	28.635	95.364	53.941	31.223
FBtr0091874	16.701	0.359	7.848	0.254	7.338	4.673
FBtr0073935	2.586	0	0	3.742	0	0
FBtr0073300	0	0	0	0	0	0
FBtr0073299	0	0	0	0	0	0
FBtr0088841	71.441	21.99	16.011	91.146	20.965	20.569
FBtr0088842	1177.192	609.689	714.678	1318.989	479.599	609.112
FBtr0345599	1.521	0.21	0.958	5.604	1.763	2.564
FBtr0070422	1.85	0.203	1.042	4.329	2.237	3.89
FBtr0342772	0.311	1.841	0	0.119	0	0.059
FBtr0070421	10.318	3.773	1	3.958	1	0.118
FBtr0333023	3.313	0.917	3.442	9.925	0.917	1.266
FBtr0075579	1.854	1.083	2.558	1.078	1.083	1.734
FBtr0072248	2.042	0.333	0.871	2.634	0.333	1.422
FBtr0345620	2.895	0.334	1.546	3.55	0.334	0.29
FBtr0072247	3.063	0.333	1.583	3.816	0.333	0.289
FBtr0072253	33.721	4.127	3.181	41.546	2.891	15.466
FBtr0343432	615.397	243.148	285.921	657.103	177.152	207.987
FBtr0073127	3.463	1.495	2.975	1.99	0.998	2.484
FBtr0073128	3.537	1.505	3.025	2.01	1.002	2.516
FBtr0079458	0.125	0	0.03	2.287	0.053	0.046
FBtr0079460	17.164	10	13.452	19.819	10.618	8.43
FBtr0079462	0.125	0	1.064	1.188	0.053	0.045
FBtr0079461	1.268	1	1.064	2.292	0.053	0.045
FBtr0079459	18.318	9	11.39	26.414	3.223	8.433
FBtr0081997	484.602	194.061	309.812	855.016	303.814	421.9
FBtr0081996	21.967	10.229	17.535	57.813	30.237	9.18
FBtr0336761	221.431	113.71	80.653	175.171	86.948	65.92
FBtr0336637	1.887	0.553	1.117	0.692	1.102	1.38
FBtr0300693	1.018	0.179	0.388	0.12	0.6	0
FBtr0336636	2.28	0.552	1.093	0.902	1.899	1.337
FBtr0071797	2.091	0.55	2.402	11.175	1.774	1.283
FBtr0336638	0.724	0.167	0	0.11	0.625	0
FBtr0087382	3146.399	1272.867	1456.038	2404.399	836.565	829.924
FBtr0339998	104.895	101.067	101.762	103.829	119.181	97.076
FBtr0301478	1022.93	419.794	465.512	1262.311	528.161	526.13
FBtr0089521	603.41	171.361	191.661	181.361	110.036	187.519
FBtr0306351	63.922	28.288	44.433	76.326	15.569	34.929
FBtr0306350	122.802	47.923	43.354	264.658	36.038	49.05
FBtr0301477	104.935	40.634	20.04	102.403	50.196	35.372
FBtr0300224	1.857	0.439	0.202	1.372	0.217	0.643
FBtr0114515	1.884	1.94	1.42	1.433	0.215	0.649
FBtr0087406	1	0	0	0	0	0
FBtr0072888	0	1	0	0	0	0
FBtr0085859	0	3	2	1	4	4
FBtr0334894	6667.617	2029.699	2540.906	6478.195	2035.544	1833.158
FBtr0084460	760.456	526.482	277.589	730.258	329.694	522.627
FBtr0304567	177.927	286.819	267.505	1164.879	355.762	202.216
FBtr0070907	5161.91	2243.384	2489.475	6763.424	2398.088	2370.686
FBtr0070906	47.68	12.616	19.51	30.537	13.912	12.309
FBtr0305911	532.851	133.883	193.73	160.072	88.103	98.614
FBtr0289953	261.231	139.011	110.392	368.548	106.087	79.127
FBtr0305910	202.918	48.106	55.878	268.381	55.81	53.259
FBtr0088312	13.974	2.723	3.327	13.531	3.707	0.66
FBtr0088313	8.68	6.291	9.53	7.116	6.477	2.4
FBtr0088311	12.64	13.041	8.377	8.492	5.939	4.977
FBtr0304592	36.706	8.945	13.766	13.862	7.876	3.963
FBtr0088882	2239	1164	1367	2593	952	1132
FBtr0079894	831.876	220.417	431.686	1129.228	338.242	386.757
FBtr0331635	144.025	180.41	102.818	66.503	91.206	127.471
FBtr0345615	204.765	92.524	105.138	225.44	104.28	115.055
FBtr0071338	7224.001	3616.76	3997	10864	4894	4950
FBtr0334508	6.891	2.304	3.771	8.363	0.601	0.565
FBtr0085746	4.109	2.696	1.229	5.941	0.607	0.569
FBtr0085085	1679.927	968.091	1085.423	1024.096	373.863	437.229
FBtr0085084	172.073	7.909	12.577	35.904	8.137	1.771
FBtr0079304	1.004	0	0.001	2.003	0.003	1
FBtr0079732	0	0	1	0	0	0
FBtr0071108	23.761	88.525	253.104	27.288	65.022	228.178
FBtr0340139	52.497	69.439	67.006	44.101	38.128	63.905
FBtr0071107	2424.429	996.664	1051.102	3193.771	1049.205	917.323
FBtr0340138	424.428	50.329	56.789	276.769	74.597	75.53
FBtr0309839	55.38	49.021	48.902	48.647	48.89	49.102
FBtr0309836	60.773	53.133	53.012	52.754	52.988	53.223
FBtr0309837	1569.801	87.215	74.061	1692.416	207.968	113.382
FBtr0073144	9714.006	4391.363	5231.511	10117.198	4455.25	4516.022
